tx_id,qber,ch_state,mode,lat_classical,lat_proposed,overhead_ms,overhead_pct
0,0.06569212450973191,CLEAN,Hybrid,0.13172399985705852,0.6769840001652483,0.5452600003081898,413.9412718258507
1,0.078877932670839,CLEAN,Hybrid,0.09565300024405587,0.6517400001939677,0.5560869999499118,581.3586594576981
2,0.017833138303793263,CLEAN,Hybrid,0.08434200026385952,0.6279400004132185,0.543598000149359,644.5163719721387
3,0.01647770955545388,CLEAN,Hybrid,0.0832119999358838,0.4790009998032474,0.3957889998673636,475.6393310728326
4,0.036054709151082234,CLEAN,Hybrid,0.08570599993618089,0.44705799973598914,0.36135199979980825,421.6180898290449
5,0.045171502317152556,NOISY,Hybrid,0.08016299989321851,0.5522920000657905,0.472129000172572,588.9612424703087
6,0.03348854999728786,CLEAN,Hybrid,0.08484899990435224,0.4544640000858635,0.3696150001815113,435.61503447084505
7,0.029766167947968544,CLEAN,Hybrid,0.08457900003122631,0.7081380003910454,0.623559000359819,737.2503814535557
8,0.00739631239687516,CLEAN,Hybrid,0.09962300009647151,0.5136750000929169,0.4140519999964454,415.6188827835857
9,0.007145628664366554,CLEAN,Hybrid,0.08007099995666067,0.5278769999677024,0.44780600001104176,559.261156040791
10,0.01103251700368597,CLEAN,Hybrid,0.08168599970304058,0.5846160001965472,0.5029300004935067,615.6869014541621
11,0.029992747063959137,CLEAN,Hybrid,0.0823580003270763,0.46563299974877737,0.38327499942170107,465.3767671623449
12,0.0225768254159316,CLEAN,Hybrid,0.0806510001893912,0.7998380001481564,0.7191869999587652,891.727316796955
13,0.025885049932097046,ATTACKED,Hybrid,0.08302599962917157,0.45804599994880846,0.3750200003196369,451.6898345032053
14,0.21070233430425914,DEGRADED,Classical-Fallback,0.08245099979831139,0.0571539999327797,-0.02529699986553169,-30.681253019869114
15,0.3276345981485,DEGRADED,Classical-Fallback,0.09629299984226236,0.05797399990115082,-0.03831899994111154,-39.79416988138486
16,0.2024267023239932,DEGRADED,Classical-Fallback,0.062074000197753776,0.06549699992319802,0.0034229997254442424,5.514385595481742
17,0.17125955077774688,DEGRADED,Classical-Fallback,0.059332000091671944,0.0486240001009719,-0.010707999990700046,-18.04759653164475
18,0.28684936032556224,DEGRADED,Classical-Fallback,0.057669999932841165,0.048424999931739876,-0.009245000001101289,-16.03086528848176
19,0.09736757227280654,DEGRADED,Classical-Fallback,0.05747399973188294,0.04876000002695946,-0.00871399970492348,-15.161637863337193
20,0.0413918985707569,DEGRADED,PQC-Only,0.05693699995390489,0.604025000029651,0.5470880000757461,960.8655189396318
21,0.24769450126370385,DEGRADED,Classical-Fallback,0.08744500019020052,0.05698299992218381,-0.03046200026801671,-34.835611186184686
22,0.30812573244113955,DEGRADED,Classical-Fallback,0.06601099994441029,0.05422500044005574,-0.01178599950435455,-17.85459925509365
23,0.11014518103728525,DEGRADED,Classical-Fallback,0.0731300001461932,0.09083700024348218,0.017707000097288983,24.21304534649413
24,0.02307511719636502,ATTACKED,PQC-Only,0.06824699994467665,0.4950279999320628,0.42678099998738617,625.3476348166944
25,0.14269876876617069,ATTACKED,PQC-Only,0.08089999982985319,0.38951999977143714,0.30861999994158396,381.4833134618858
26,0.1837805885241235,ATTACKED,PQC-Only,0.08270499984064372,0.41640299969003536,0.33369799984939164,403.47983857368
27,0.11197300062232113,ATTACKED,PQC-Only,0.10930700000244542,0.4382669999358768,0.3289599999334314,300.95053374996286
28,0.03768106996236471,ATTACKED,Hybrid,0.08171899980879971,0.45971999998073443,0.3780010001719347,462.56195138995156
29,0.09445625286780016,ATTACKED,PQC-Only,0.07989999994606478,0.4542659999060561,0.3743659999599913,468.5431792399263
30,0.18153368083963653,ATTACKED,PQC-Only,0.09295799964093021,0.3887440002472431,0.2957860006063129,318.19316438482804
31,0.10656536462977197,ATTACKED,PQC-Only,0.0806420002845698,0.42496500009292504,0.34432299980835523,426.97725576412654
32,0.10684673374645706,DEGRADED,PQC-Only,0.0832149999041576,0.48787000014272053,0.40465500023856293,486.276513494709
33,0.016039520386440003,CLEAN,Hybrid,0.07889399967098143,0.9444010001971037,0.8655070005261223,1097.0504780282686
34,0.019983576256228867,CLEAN,Hybrid,0.16460599999845726,0.670921000164526,0.5063150001660688,307.59206843663907
35,0.05429368184726094,CLEAN,Hybrid,0.1680990003478655,0.71840800001155,0.5503089996636845,327.3719644524181
36,0.02068994249322773,ATTACKED,Hybrid,0.14780999981667264,0.6025859997862426,0.45477599996956997,307.67607099223625
37,0.16534450579207297,ATTACKED,PQC-Only,0.08361500022147084,0.47409599983438966,0.3904809996129188,466.9987425445827
38,0.15370275592981972,NOISY,PQC-Only,0.08489299989378196,0.6287429996518767,0.5438499997580948,640.6299700076088
39,0.09913508040607978,NOISY,PQC-Only,0.08500900003127754,0.3492549999464245,0.26424599991514697,310.84473387279274
40,0.1503886623816859,NOISY,PQC-Only,0.09555999986332608,0.47964099985620123,0.38408099999287515,401.9265388679404
41,0.03681511555489089,NOISY,Hybrid,0.08562799985156744,0.7312530001399864,0.645625000288419,753.9881830798138
42,0.10449725309334659,NOISY,PQC-Only,0.08337600002050749,0.7955630003380065,0.712187000317499,854.1870563979163
43,0.08666274339242261,NOISY,PQC-Only,0.08493099994666409,0.3926979998141178,0.3077669998674537,362.3729852006083
44,0.162413424925791,NOISY,PQC-Only,0.09794100014914875,0.43812100011564326,0.3401799999664945,347.33155619041446
45,0.15476504032746577,ATTACKED,PQC-Only,0.08102399988274556,0.4527070000222011,0.37168300013945554,458.73198148368283
46,0.12109747371245883,ATTACKED,PQC-Only,0.08326699980898411,0.6469350000770646,0.5636680002680805,676.9404464687623
47,0.1268422893740121,ATTACKED,PQC-Only,0.08448699963992112,0.5201389999456296,0.4356520003057085,515.6438294204233
48,0.01380227455209519,CLEAN,Hybrid,0.14718600004925975,0.4579569999805244,0.31077099993126467,211.14168455373257
49,0.01165004663422944,CLEAN,Hybrid,0.08159699973475654,0.5571289998442808,0.47553200010952423,582.7812317307172
50,0.03382647925031723,CLEAN,Hybrid,0.08180999975593295,0.5723290000787529,0.4905190003228199,599.5831827236339
51,0.009183852304735661,CLEAN,Hybrid,0.08106399991447688,0.4345400002421229,0.35347600032764603,436.045594469266
52,0.07547957866077523,CLEAN,Hybrid,0.08003099992492935,0.45993799994903384,0.3799070000241045,474.69980430141413
53,0.003424447686604542,CLEAN,Hybrid,0.07965400027387659,0.4871249998359417,0.4074709995620651,511.55120667015603
54,0.026388908315491726,CLEAN,Hybrid,0.08046099992498057,0.42953400043188594,0.3490730005069054,433.8412408898356
55,0.017269618642187085,CLEAN,Hybrid,0.07831999982954585,0.7340769998336327,0.6557570000040869,837.2791131655566
56,0.056482076496838764,CLEAN,Hybrid,0.08021699977689423,0.49809200027084444,0.4178750004939502,520.9307274719532
57,0.048485676032308626,NOISY,Hybrid,0.0934360000428569,0.7884839997132076,0.6950479996703507,743.8760213959806
58,0.03334312476578192,NOISY,Hybrid,0.08098700027403538,0.688557999637851,0.6075709993638156,750.2080547593813
59,0.12949804334987067,NOISY,PQC-Only,0.0778559997343109,0.5246740001894068,0.4468180004550959,573.9031057078374
60,0.03978263080326451,NOISY,Hybrid,0.09568199993736926,0.5191810000724217,0.4234990001350525,442.610940837632
61,0.11599692980841783,NOISY,PQC-Only,0.08419100004175561,0.6643609999628097,0.5801699999210541,689.1116623312603
62,0.03243276875605026,NOISY,Hybrid,0.08174999993570964,0.5921369997849979,0.5103869998492883,624.3266058112172
63,0.02187341861552386,CLEAN,Hybrid,0.08140799991451786,0.4601199998433003,0.37871199992878246,465.20243750791997
64,0.012944725312234244,CLEAN,Hybrid,0.08377899985134718,0.7250999997268082,0.641320999875461,765.4913534577704
65,0.028114310270664376,CLEAN,Hybrid,0.1047620003191696,0.4245230002197786,0.319760999900609,305.22613058782764
66,0.05192025166687087,CLEAN,Hybrid,0.07718500000919448,0.4635350001080951,0.38635000009890064,500.550625189969
67,0.012795996717136911,CLEAN,Hybrid,0.07734699966022163,0.6208329996297834,0.5434859999695618,702.6594468525561
68,0.014058310201596022,CLEAN,Hybrid,0.08039100021051127,0.7875660003264784,0.7071750001159671,879.6693638145614
69,0.024378579612712656,CLEAN,Hybrid,0.08247899995694752,0.5319299998518545,0.449450999894907,544.9277999606105
70,0.013555603365364216,CLEAN,Hybrid,0.07965200029502739,0.5469780003295455,0.4673260000345181,586.7096850092449
71,0.02595160827247184,CLEAN,Hybrid,0.08009300017874921,0.469120000161638,0.3890269999828888,485.7191004390768
72,0.009999963329188115,CLEAN,Hybrid,0.08016599986149231,0.42859100040004705,0.34842500053855474,434.6293954301697
73,0.01981611223820042,CLEAN,Hybrid,0.07756100012556999,0.5189019998397271,0.4413409997141571,569.0243795201625
74,0.01926239311871981,NOISY,Hybrid,0.08052200018937583,0.6325310000647733,0.5520089998753974,685.5381120403789
75,0.08798298791808574,NOISY,Hybrid,0.08086300022114301,0.42920200030494016,0.34833900008379715,430.7767447796452
76,0.10710083101208204,NOISY,PQC-Only,0.09326899998995941,0.4877999999735039,0.39453099998354446,423.0033559124859
77,0.05534512789994688,NOISY,Hybrid,0.08023600003070896,0.4953420002493658,0.41510600021865685,517.3562989926992
78,0.044298444886779205,NOISY,Hybrid,0.08063599989327486,0.5310470000949863,0.45041100020171143,558.5730948929131
79,0.046843509483617984,NOISY,Hybrid,0.10007799983213772,0.42368799995529116,0.32361000012315344,323.35778159630405
